id,link,neighborhood,price,listing_type,num_guests,num_bed,num_bath,shared_bath,num_ammenities,number_review,overall_review,accuracy,communication,cleanliness,value,check_in,location
19289198,https://www.airbnb.com/rooms/19289198?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,174,Private,3,1,1,notshared,4,107,5,4.8,4.8,4.7,4.8,4.8,4.7
21981789,https://www.airbnb.com/rooms/21981789?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,139,Private,2,1,1,sharedbath,4,45,4.5,4.5,4.8,4,4.8,4.8,4.7
29778083,https://www.airbnb.com/rooms/29778083?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,221,Entire,4,1,1,notshared,4,20,5,5,5,4.5,5,5,5
3799598,https://www.airbnb.com/rooms/3799598?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,378,Entire,5,2,1,notshared,4,299,4.5,4.6,4.8,4.5,4.7,4.7,4.7
13436132,https://www.airbnb.com/rooms/13436132?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,245,Entire,2,1,1,notshared,4,146,4.5,4.8,4.9,4.6,4.8,4.8,4.9
36459580,https://www.airbnb.com/rooms/36459580?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,113,Private,2,1,1,sharedbath,4,0,0,0,0,0,0,0,0
16912472,https://www.airbnb.com/rooms/16912472?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,116,Private,2,1,1,sharedbath,4,201,4.5,4.8,5,4.3,4.9,4.9,5
36513442,https://www.airbnb.com/rooms/36513442?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,146,Private,2,1,1,notshared,4,0,0,0,0,0,0,0,0
25838887,https://www.airbnb.com/rooms/25838887?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,130,Private,2,1,1,notshared,5,51,4.5,4.7,4.8,4.7,4.8,4.8,4.6
35658004,https://www.airbnb.com/rooms/35658004?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,327,Entire,4,1,1,notshared,4,0,0,0,0,0,0,0,0
2013807,https://www.airbnb.com/rooms/2013807?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,382,Entire,2,1,1,notshared,4,220,4.5,4.3,4.7,4.1,4.7,4.7,4.6
5066813,https://www.airbnb.com/rooms/5066813?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,298,Entire,3,1,1,notshared,6,62,5,4.8,4.9,4.7,4.8,4.8,4.9
26158857,https://www.airbnb.com/rooms/26158857?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,314,Entire,3,1,1,notshared,4,0,0,0,0,0,0,0,0
23201228,https://www.airbnb.com/rooms/23201228?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,298,Entire,2,1,1,notshared,4,79,5,4.9,5,4.7,4.9,4.9,5
17465159,https://www.airbnb.com/rooms/17465159?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,115,Private,2,1,1,sharedbath,4,134,4.5,4.7,4.8,4.5,4.9,4.9,4.7
36566557,https://www.airbnb.com/rooms/36566557?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,172,Private,2,1,1,notshared,4,0,0,0,0,0,0,0,0
36455584,https://www.airbnb.com/rooms/36455584?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,268,Entire,4,1,1,notshared,4,0,0,0,0,0,0,0,0
6639120,https://www.airbnb.com/rooms/6639120?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,192,Private,2,6,1,sharedbath,5,225,5,4.8,5,4.7,5,5,4.8
945297,https://www.airbnb.com/rooms/945297?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,135,Private,2,1,1,sharedbath,4,417,5,4.7,4.9,4.7,4.8,4.8,4.9
